Strength,distance,distance2
-87,198.4930902,5.754399373
-89,249.8879953,6.918309709
-88,222.7129103,6.309573445
-87,198.4930902,5.754399373
-87,198.4930902,5.754399373
-86,176.9071529,5.248074602
-85,157.668666,4.786300923
-84,140.5223465,4.365158322
-83,125.2406731,3.981071706
-86,176.9071529,5.248074602
-87,198.4930902,5.754399373
-87,198.4930902,57.54399373
-88,222.7129103,6.309573445
-87,198.4930902,5.754399373
-87,198.4930902,5.754399373
-87,198.4930902,57.54399373
-87,198.4930902,5.754399373
-84,140.5223465,4.365158322
-89,249.8879953,6.918309709
-86,176.9071529,5.248074602
